experiment	transfer_h	strain1	strain2	strain2_od	WN_FC_fluor_offset	Healthiness_hsv	strain1_meanCount	strain1_sd	plant_quality	Alive	batchtest	strain2_meanCount	strain2_sd	ratioCFU_S12	S12_FC_inocCFU	WN_FC_inocCFU	Treatment	rep_on	treatment
2024-01-30	0	WCS365	N2C3	0.001	1.22971813487247	358.816016143469	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	0.887065332122072	402.107490646495	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	0.569909132139484	335.771454563674	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	1.2151453299384	384.938694284291	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	0.716126858314209	402.365701735622	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	-4.93720840250347	393.142956047988	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	1.02314855514409	326.615348048038	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	-2.73072994921783	67.6213629302389	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	2.87693714935613	65.1536224187668	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	-1.58993755461099	55.1282520143468	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	-1.64897801853615	370.39882997923	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-02-14	0	N2C3	WCS365	0.001	3.23753836143221	434.213291029394	586666.666666667	248008.736405259	good	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2024-02-14	0	N2C3	WCS365	0.001	4.16269342533239	404.563254245005	586666.666666667	248008.736405259	good	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2024-02-14	0	N2C3	WCS365	0.001	2.08300934027211	448.139257182802	586666.666666667	248008.736405259	good	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2024-02-14	0	N2C3	WCS365	0.001	1.95130117347654	441.80569859258	586666.666666667	248008.736405259	good	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
